City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Jishou,CN,78.98,moderate rain,28.3167,109.7167,7 Days Inn
96,Riohacha,CO,89.35,broken clouds,11.5444,-72.9072,Hotel Taroa
97,Torbay,CA,77.88,broken clouds,47.6666,-52.7314,Gallows Cove
110,Victoria,HK,86.05,heavy intensity rain,22.2855,114.1577,Mini Hotel Central
114,Abu Samrah,SY,82.15,clear sky,35.3029,37.1841,
116,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
126,Esfahan,IR,87.44,overcast clouds,32.6572,51.6776,Abbasi Hotel
130,Cacu,BR,87.35,clear sky,-18.5567,-51.1308,Império Hotel
131,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
133,Laguna,US,85.6,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
134,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
135,Boende,CD,82.13,overcast clouds,-0.2167,20.8667,
138,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
142,Seka,TH,82.2,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
147,Luanda,AO,75.2,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
149,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
150,Caravelas,BR,75.81,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
151,San Cristobal,VE,82.83,broken clouds,7.7669,-72.225,Posada Villaven C.A.
153,Pacific Grove,US,77.81,scattered clouds,36.6177,-121.9166,Lovers Point Inn
160,Ischia,IT,85.55,scattered clouds,40.7342,13.9471,Hotel Ulisse
161,Melilla,ES,82.78,clear sky,35.2937,-2.9383,Hotel Nacional
162,Sal Rei,CV,89.8,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
