City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Krasnyy Yar,RU,46.5331,48.3456,85.93,23,54,9.89,broken clouds
180,Ambulu,ID,-8.345,113.6058,74.62,91,36,5.03,scattered clouds
181,Padang,ID,-0.9492,100.3543,78.48,87,81,3.85,broken clouds
182,Naze,JP,28.3667,129.4833,78.22,87,50,17.11,scattered clouds
183,Baturaja,ID,-4.1333,104.1667,75.22,87,24,2.77,few clouds
184,Manicore,BR,-5.8092,-61.3003,93.15,43,0,6.91,clear sky
185,Pallasovka,RU,50.05,46.8833,85.06,20,100,10.8,overcast clouds
186,Tongliao,CN,43.6125,122.2653,72.75,73,92,3.67,overcast clouds
187,Olafsvik,IS,64.8945,-23.7142,57.76,78,100,6.96,overcast clouds
188,Cidreira,BR,-30.1811,-50.2056,66.72,72,3,8.55,clear sky
189,Lagoa,PT,39.05,-27.9833,71.82,84,73,17.9,broken clouds
190,Avarua,CK,-21.2078,-159.775,69.85,83,90,3.44,overcast clouds
191,Aurangabad,IN,19.8833,75.3333,79.97,72,100,8.3,overcast clouds
192,Hokitika,NZ,-42.7167,170.9667,35.19,79,48,8.57,scattered clouds
193,Dingle,PH,10.9995,122.6711,76.5,91,97,3.44,overcast clouds
194,Nanchong,CN,30.7951,106.0847,74.64,96,96,5.82,light rain
195,Kavaratti,IN,10.5669,72.642,80.94,81,100,17.96,light rain
196,Bria,CF,6.5423,21.9863,71.53,93,80,3.78,broken clouds
197,Bay Roberts,CA,47.5999,-53.2648,78.66,84,92,8.01,overcast clouds
198,Rio Cuarto,AR,-33.1307,-64.3499,56.77,51,28,16.08,scattered clouds
199,Cayenne,GF,4.9333,-52.3333,91.44,75,40,5.01,scattered clouds
200,Waiblingen,DE,48.8324,9.3164,70.93,55,20,13.8,few clouds
201,Port Elizabeth,ZA,-33.918,25.5701,61.09,82,0,19.57,clear sky
202,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,32,20,10.36,few clouds
203,Birin,NP,26.8865,88.0718,65.82,94,81,2.46,broken clouds
204,Hasaki,JP,35.7333,140.8333,79.2,90,100,9.01,overcast clouds
205,Pangnirtung,CA,66.1451,-65.7125,48.2,76,90,13.8,overcast clouds
206,Muroto,JP,33.2833,134.15,82.22,88,100,34.43,overcast clouds
207,Coquimbo,CL,-29.9533,-71.3436,58.73,72,75,3.44,broken clouds
208,Luderitz,NA,-26.6481,15.1594,57.96,79,69,6.82,broken clouds
209,Zalantun,CN,48.0,122.7167,66.31,99,100,4.76,moderate rain
210,Esil,KZ,51.9556,66.4042,66.09,55,98,7.58,overcast clouds
211,Juba,SS,4.8517,31.5825,72.54,88,88,2.51,light rain
212,Port Hedland,AU,-20.3167,118.5667,59.05,82,3,6.91,clear sky
213,Meulaboh,ID,4.1363,96.1285,79.77,86,100,8.52,moderate rain
214,Salinopolis,BR,-0.6136,-47.3561,84.97,62,13,13.18,few clouds
215,Kieta,PG,-6.2167,155.6333,76.86,83,95,4.52,light rain
216,Ponta Do Sol,PT,32.6667,-17.1,75.83,75,64,2.77,broken clouds
217,Yanaul,RU,56.2719,54.9309,60.04,59,7,6.26,clear sky
218,Fukue,JP,32.6881,128.8419,79.83,83,90,23.64,overcast clouds
219,Shenandoah,US,30.4013,-91.0009,93.99,68,13,1.99,few clouds
220,Quimper,FR,48.0,-4.1,64.47,82,75,13.8,broken clouds
221,Nanakuli,US,21.3906,-158.1547,76.1,68,2,11.7,clear sky
222,Port-Cartier,CA,50.0334,-66.8654,66.42,43,10,6.98,clear sky
223,Aquiraz,BR,-3.9014,-38.3911,87.89,60,21,15.64,few clouds
224,Namatanai,PG,-3.6667,152.4333,77.68,80,99,6.26,light rain
225,Angoche,MZ,-16.2325,39.9086,72.59,65,11,10.11,few clouds
226,Ambon,ID,-3.6954,128.1814,75.34,100,40,5.75,scattered clouds
227,Erzin,TR,36.9559,36.2,83.12,75,1,6.78,clear sky
228,Wairoa,NZ,-39.0333,177.3667,41.56,92,98,18.01,overcast clouds
229,Nokaneng,BW,-19.6667,22.2667,70.75,13,0,4.9,clear sky
230,Zhuhai,CN,22.2769,113.5678,85.78,94,40,12.66,moderate rain
231,Sorland,NO,67.667,12.6934,71.67,71,98,15.68,overcast clouds
232,Ponta Delgada,PT,37.7333,-25.6667,72.32,73,75,19.57,broken clouds
